289	340	542	NaN	NaN	353	547	304	653	438
486	702	228	NaN	NaN	588	361	311	652	963
299	0	262	284	592	1639	550	359	NaN	458
291	590	590	411	766	653	868	NaN	175	378
531	776	109	332	678	893	476	NaN	301	289
604	384	162	NaN	1017	864	634	372	551	699
357	420	1061	691	1013	573	262	0	513	2161
381	774	123	554	664	826	706	634	516	614
307	1186	521	560	309	863	385	626	290	424
46	272	218	NaN	775	309	1339	330	825	532
35	0	887	158	NaN	883	894	385	678	1013
76	302	157	333	620	327	457	583	163	349
229	234	400	NaN	NaN	377	642	301	607	461
230	554	102	NaN	NaN	507	554	383	658	1224
298	0	140	NaN	805	1489	533	441	NaN	521
271	448	430	525	1020	492	1117	NaN	168	532
436	624	72	341	900	869	582	NaN	192	496
587	360	60	NaN	1455	916	1067	383	497	1001
274	450	634	504	1230	710	192	163	431	2571
406	926	29	506	819	769	732	528	478	801
315	1058	482	479	333	884	254	543	311	407
